word,phones,n_phonemes,n_sibilants,sibilant_density,log_freq
cunt,K AH N T,4,0,0.0,2.545307116465824
twat,T W AA T,4,0,0.0,1.8325089127062364
pussy,P UH S IY,4,1,0.25,3.1172712956557644
dick,D IH K,3,0,0.0,3.4320066872695985
cock,K AA K,3,0,0.0,2.7641761323903307
prick,P R IH K,4,0,0.0,2.857935264719429
dickhead,D IH K HH EH D,6,0,0.0,2.2095150145426308
tits,T IH T S,4,1,0.25,2.797959643737196
balls,B AO L Z,4,1,0.25,3.311541958401195
cum,K AH M,3,0,0.0,2.0211892990699383
shag,SH AE G,3,1,0.3333333333333333,1.9912260756924949
shit,SH IH T,3,1,0.3333333333333333,4.3839589106791115
fuck,F AH K,3,0,0.0,4.285737290146654
fucker,F AH K ER,4,0,0.0,2.8273692730538253
bastard,B AE S T ER D,6,1,0.16666666666666666,3.524915147539867
ass,AE S,2,1,0.5,4.062431553162612
asshole,AE S HH OW L,5,1,0.2,3.49734438101758
crap,K R AE P,4,0,0.0,3.498586208817518
piss,P IH S,3,1,0.3333333333333333,3.0806264869218056
bollocks,B AA L AH K S,6,1,0.16666666666666666,2.1583624920952498
bugger,B AH G ER,4,0,0.0,2.3483048630481607
wanker,W AE NG K ER,5,0,0.0,2.0492180226701815
douche,D UW SH,3,1,0.3333333333333333,2.0827853703164503
whore,HH AO R,3,0,0.0,3.0322157032979815
slut,S L AH T,4,1,0.25,2.7634279935629373
faggot,F AE G AH T,5,0,0.0,2.545307116465824
dyke,D AY K,3,0,0.0,2.123851640967086
nigger,N IH G ER,4,0,0.0,3.0149403497929366
coon,K UW N,3,0,0.0,1.8129133566428555
